"a","D2_Gamma","D3_Gamma","D5_Gamma","D2_Beta","D3_Beta","D5_Beta","Beta_Gamma"
0.5,0.959384810052168,0.959682290607932,1,0.930387336039785,0.930668370286219,0.906425624205113,0.906425624205113
0.55,0.9530470940711,0.953342261906533,1,0.921829599404164,0.922114184676233,0.896025011393762,0.896025011393762
0.6,0.94671805540331,0.947008360006308,1,0.912999194196091,0.913282053766309,0.885380520283116,0.885380520283116
0.65,0.940812143191956,0.941094068369207,1,0.903963774649822,0.90424047479772,0.874838140667403,0.874838140667403
0.7,0.93526464512643,0.935530876607673,1,0.894910140642395,0.89517225521829,0.864337250366448,0.864337250366448
0.75,0.92986915004393,0.930109459186532,1,0.885898525408563,0.886135481314607,0.853774143294595,0.853774143294595
0.8,0.924360389818668,0.924557394947867,1,0.877050947919124,0.877245471199886,0.84308690581435,0.84308690581435
0.85,0.919072032431783,0.919201177186799,1,0.868347501619293,0.868475035259204,0.832607763672798,0.832607763672798
0.9,0.91436852468653,0.914392311344097,1,0.859763945629927,0.859787453324526,0.822505542738521,0.822505542738521
0.95,0.910162250722541,0.910025075929152,1,0.851411149461281,0.851275800308792,0.812713283373192,0.812713283373192
1,0.906247421213884,0.905873515591012,1,0.843277755633543,0.842909094238702,0.803290835007596,0.803290835007596
1.05,0.901645667053212,0.900912698889285,1,0.835489520671143,0.834765549123778,0.793240333491227,0.793240333491227
1.1,0.898387592372718,0.897167701784962,1,0.827981259291343,0.826768384607749,0.784144564640882,0.784144564640882
1.15,0.895090925496353,0.893219867162354,1,0.820713283383693,0.818827363315302,0.774858276290742,0.774858276290742
1.2,0.892396678379703,0.889719629947249,1,0.813790850378116,0.811010272129133,0.765932282692405,0.765932282692405
1.25,0.889724666406327,0.886223190435257,1,0.807227552238069,0.80330084140602,0.757167934448194,0.757167934448194
1.3,0.887201686445054,0.88269312018873,1,0.801116389901138,0.795746659978253,0.748370305328301,0.748370305328301
1.35,0.885286261796916,0.879690865691458,1,0.795368543775634,0.788306692561149,0.740074787930738,0.740074787930738
1.4,0.883351291207654,0.876652449792294,1,0.790094955995069,0.781008749087722,0.731789194099667,0.731789194099667
1.45,0.881728524691959,0.873953872480775,1,0.785228754914301,0.773863233810666,0.72378293349533,0.72378293349533
1.5,0.879861543553914,0.871111228837296,1,0.780778674898914,0.766826432657561,0.715797439634919,0.715797439634919
1.55,0.87801518829744,0.868552700297177,1,0.776692236623978,0.75994815799689,0.7080098003375,0.7080098003375
1.6,0.876110080009133,0.866362787002896,1,0.773008935785141,0.75318939248629,0.70052961273087,0.70052961273087
1.65,0.873295583906905,0.863633507390416,1,0.769677295710873,0.746609450346171,0.692920524916522,0.692920524916522
1.7,0.870876806106459,0.861273125674285,1,0.766659356178304,0.740163809875937,0.685587135385082,0.685587135385082
1.75,0.86831494401725,0.858743355653365,1,0.763920284196789,0.733853919121587,0.678465994998012,0.678465994998012
1.8,0.865797993202123,0.856441155598338,1,0.761510032315701,0.727689011341198,0.671600213651138,0.671600213651138
1.85,0.863638084554002,0.854685204180451,1,0.75931367986639,0.721688307357038,0.665397121202605,0.665397121202605
1.9,0.86096382901282,0.852782248636085,1,0.757317164516363,0.715834310712982,0.659100120147694,0.659100120147694
1.95,0.858335093994623,0.850956374647491,1,0.755409428523232,0.710108103508151,0.653115473187419,0.653115473187419
2,0.855377948414279,0.849234825106937,1,0.753748430304957,0.704534971113255,0.647328753047155,0.647328753047155
2.05,0.85258522271954,0.847835302483841,1,0.752176306498645,0.699096867587004,0.641768893334668,0.641768893334668
2.1,0.849313805465466,0.846220563994283,1,0.750702436792396,0.693816596203781,0.636221588212218,0.636221588212218
2.15,0.846184603894567,0.845053680236471,1,0.749375389361232,0.688667148200139,0.6310876687396,0.6310876687396
2.2,0.842644408668606,0.843667975301732,1,0.748003873191027,0.683651490521073,0.625873737237397,0.625873737237397
2.25,0.838639112495442,0.842083455207556,1,0.746708219654395,0.678750666500688,0.620505042903055,0.620505042903055
2.3,0.834091300550829,0.84012597553973,1,0.745483155434212,0.673997312910187,0.615017252514375,0.615017252514375
2.35,0.829902175245555,0.838906510236759,1,0.744270407401215,0.66939206900958,0.610218996743226,0.610218996743226
2.4,0.82532733228426,0.837503089341768,1,0.742986728358922,0.664917228026416,0.605293386494721,0.605293386494721
2.45,0.820733710952441,0.836227168653696,1,0.741879762261303,0.660569019073494,0.600749229082915,0.600749229082915
2.5,0.81648866695805,0.835451633835184,1,0.74055701985003,0.656371221302159,0.596762249906386,0.596762249906386
2.55,0.812279898876023,0.834726261726952,1,0.739411699081453,0.652288422737029,0.592869216938332,0.592869216938332
2.6,0.806926743832186,0.833825428111181,1,0.73825915701286,0.648349760019671,0.588994910745482,0.588994910745482
2.65,0.801954602693491,0.833041357593005,1,0.736995318433025,0.644557917918901,0.585290497875767,0.585290497875767
2.7,0.796265165228152,0.832172789923388,1,0.735453214412031,0.640875724402744,0.581599667392168,0.581599667392168
2.75,0.790587014353387,0.831400664600953,1,0.734292178338042,0.637311966274712,0.578035237499341,0.578035237499341
2.8,0.78447636185985,0.830534965386748,1,0.732565222752672,0.63386003241102,0.574558574277225,0.574558574277225
2.85,0.778713947383027,0.830071939419042,1,0.731298177857143,0.630502748252824,0.571442644070415,0.571442644070415
2.9,0.772160812858382,0.82940937568967,1,0.72955815395319,0.627259690553293,0.568340726652144,0.568340726652144
2.95,0.765431198282593,0.828846505085348,1,0.727644592343406,0.624131338561198,0.565313655537912,0.565313655537912
3,0.757948994765575,0.828371655569061,1,0.725528343057012,0.621090365975575,0.562440278194085,0.562440278194085
