"a","D2_Gamma","D3_Gamma","D5_Gamma","D2_Beta","D3_Beta","D5_Beta","Beta_Gamma"
0.5,0.995920215993495,0.996010379468237,1,0.983169954336521,0.983252425616671,0.980556551308705,0.980556551308705
0.55,0.994718078990794,0.994818848648458,1,0.979078449402512,0.979175433842655,0.976314651365243,0.976314651365243
0.6,0.993415414917298,0.993525903909814,1,0.974673381080799,0.974784799527578,0.971710779801168,0.971710779801168
0.65,0.992061089687362,0.992179367199915,1,0.969905043131374,0.970031698396422,0.966767740483091,0.966767740483091
0.7,0.990670544587557,0.990792595258265,1,0.964852511523382,0.964989923240698,0.961378551921281,0.961378551921281
0.75,0.989266465200431,0.989387021998164,1,0.959585220483498,0.95972721828456,0.955672054986627,0.955672054986627
0.8,0.987800498640277,0.987907439213237,1,0.954230464887729,0.954362325954342,0.949667120449753,0.949667120449753
0.85,0.986358629876085,0.986433460863965,1,0.948781969724497,0.948878942472999,0.943487321165631,0.943487321165631
0.9,0.984999194865795,0.985013210894332,1,0.943241019355139,0.9432603443508,0.937165991501037,0.937165991501037
0.95,0.98364680950242,0.983560087448272,1,0.937734163819617,0.93760570780151,0.930677833296486,0.930677833296486
1,0.982382125904162,0.982142244477372,1,0.932327036860126,0.931951811741428,0.924177681128153,0.924177681128153
1.05,0.981116049372825,0.980640627429977,1,0.92712924174428,0.926348549853708,0.917545862528242,0.917545862528242
1.1,0.98006194887277,0.979276188628237,1,0.922114493068349,0.920737251414074,0.910958706340529,0.910958706340529
1.15,0.979055898460481,0.977870021784505,1,0.917281539420494,0.915071328080264,0.904219797538837,0.904219797538837
1.2,0.978168740328257,0.976501828224464,1,0.91268935172238,0.909360260537381,0.897492410622798,0.897492410622798
1.25,0.977374232080905,0.975171151576978,1,0.90837997534255,0.903620814834833,0.89078611756318,0.89078611756318
1.3,0.976576333799899,0.973781551360183,1,0.90443034109736,0.897892861772111,0.883915297846026,0.883915297846026
1.35,0.97590515053669,0.972493519518953,1,0.900736932562125,0.892146503523823,0.877202927082921,0.877202927082921
1.4,0.975281682588513,0.971257231439785,1,0.897435735513788,0.886433418532154,0.870510462813653,0.870510462813653
1.45,0.974636594931809,0.970032856890967,1,0.894417801752981,0.88075445757292,0.863801996944708,0.863801996944708
1.5,0.973961914841643,0.968819917689289,1,0.891690938844506,0.875068233960768,0.857002420181582,0.857002420181582
1.55,0.973303539579818,0.967705946545044,1,0.889179425388231,0.869414956690292,0.850436349351531,0.850436349351531
1.6,0.972634857792971,0.966673185030375,1,0.886920372518045,0.863770628997426,0.843843079811671,0.843843079811671
1.65,0.971704789857925,0.965567894661726,1,0.884903807979209,0.858222393726494,0.837133009854533,0.837133009854533
1.7,0.970587220824756,0.964394073134159,1,0.883071859214622,0.85272450582263,0.830400880592844,0.830400880592844
1.75,0.969368209170418,0.963182751080848,1,0.881404045360156,0.847281076253704,0.823885436084799,0.823885436084799
1.8,0.968023679161066,0.961936118450111,1,0.879959644826216,0.841893231460061,0.817385595912663,0.817385595912663
1.85,0.966938969229254,0.96105176550948,1,0.878620473027441,0.836603398409466,0.811501477602838,0.811501477602838
1.9,0.965572880755965,0.960089871133289,1,0.877438800238254,0.83140582546765,0.805504594340316,0.805504594340316
1.95,0.964269834973978,0.959269356682007,1,0.876297659031732,0.82628986414519,0.799824129582058,0.799824129582058
2,0.962790845936385,0.958482535858109,1,0.875349921851757,0.821258023663821,0.794218110855679,0.794218110855679
2.05,0.961260182982603,0.957762223984667,1,0.874484170609924,0.816303679387148,0.788799347547524,0.788799347547524
2.1,0.959493871875382,0.95699637609611,1,0.873648390492245,0.811456943759636,0.783398148832839,0.783398148832839
2.15,0.957693575895283,0.956360305505802,1,0.872991426266815,0.80670353440036,0.778276212214919,0.778276212214919
2.2,0.955666461532662,0.955669310928076,1,0.872306755779373,0.802037522912382,0.773113866722477,0.773113866722477
2.25,0.953282330822407,0.954862821079786,1,0.87169556809169,0.79744962474857,0.767754274034454,0.767754274034454
2.3,0.950583348984919,0.953873548241086,1,0.871145148532369,0.792983298802041,0.762292654418086,0.762292654418086
2.35,0.948002552069419,0.953207505712208,1,0.870681894946183,0.788623195610004,0.757417456793599,0.757417456793599
2.4,0.944918947837182,0.952318820972837,1,0.870244525508186,0.78436187516775,0.752261427682154,0.752261427682154
2.45,0.941927160768395,0.951526565456392,1,0.869848424942235,0.780204978795461,0.747519533443539,0.747519533443539
2.5,0.93915965496666,0.951069298855234,1,0.869474731208941,0.776188478406091,0.743346504320596,0.743346504320596
2.55,0.936331065133049,0.95064408357574,1,0.86910534461199,0.772274630953581,0.739273621793399,0.739273621793399
2.6,0.932845464439211,0.950194582690608,1,0.868942985298997,0.768486323574733,0.735276260718086,0.735276260718086
2.65,0.929456301498745,0.949736172612217,1,0.868676842508557,0.76483634359981,0.731399369058564,0.731399369058564
2.7,0.925650383366925,0.949257496034603,1,0.868312593639665,0.761290501511592,0.727542552624531,0.727542552624531
2.75,0.92158116725107,0.948792389583057,1,0.868176863531858,0.757850364475019,0.72374715515034,0.72374715515034
