"a","D1_Gamma","D3_Gamma","D4_Gamma","D1_Beta","D3_Beta","D4_Beta","Beta_Gamma"
0.5,0.831379813689031,0.868171094661152,0.900559810228264,0.890913711037606,0.915051202859093,0.810908831457333,0.863844109011789
0.55,0.820445591182536,0.855146212958346,0.904130259777931,0.881724672931477,0.90435504888323,0.812185496564197,0.850875046057385
0.6,0.810324110072573,0.842910592788851,0.903652725149248,0.872970308502135,0.89369687748665,0.812222939519159,0.838008975019787
0.65,0.800959108214213,0.831446656745752,0.899356674805481,0.864648286378375,0.883173608586517,0.811168962351198,0.82528559459884
0.7,0.792238317881851,0.820672526982302,0.892378498580008,0.856736492653688,0.872804780558426,0.809178370581626,0.812723880923304
0.75,0.784072522932303,0.810519636440344,0.883684484273251,0.849256887617649,0.862666858836885,0.806302647906071,0.800267279478707
0.8,0.776479594165078,0.800992435714281,0.873960248578363,0.842200609739365,0.852788050354044,0.802719434622368,0.787953495039188
0.85,0.769381944701992,0.792003404502763,0.863581880039634,0.835594392195051,0.843207199235209,0.798488430941185,0.775826294199421
0.9,0.762665042487964,0.78345453463067,0.852838991485601,0.829349997942882,0.833888006662455,0.79368458938588,0.763790700496424
0.95,0.756375438479727,0.775429416303377,0.841913506170752,0.823520140687499,0.824884567699221,0.788427019395517,0.7519992516173
1,0.750436420245392,0.767823337199947,0.830925467844357,0.81801663169492,0.816136871909708,0.782765307702262,0.740322912178829
1.05,0.744787550868467,0.760618645997598,0.819925529610516,0.812857891390286,0.807665443003021,0.776783129560153,0.728823463879039
1.1,0.739415724325559,0.753808461833786,0.809009285856605,0.808084272294966,0.799520492978417,0.77058869628975,0.717479498159401
1.15,0.734270441918677,0.747345254318184,0.798218586958219,0.803601914132556,0.791598003087727,0.76411779581351,0.706317966551605
1.2,0.729399295442003,0.741248335669495,0.787575285835088,0.799442023375736,0.783971363623309,0.757460547589478,0.695330776963
1.25,0.724755274299964,0.735525552461133,0.777165070935917,0.795541578878521,0.776562195887158,0.750692286186422,0.684586919389726
1.3,0.720270518978925,0.730094645528682,0.766913594174655,0.791942350488474,0.769433758514209,0.743854370811295,0.67399809861492
1.35,0.715931807855175,0.724974042897685,0.756848113360597,0.788598232306833,0.762561764391938,0.73692154008989,0.66354803462604
1.4,0.711754835985856,0.720194066877916,0.747006820782206,0.785476543295408,0.755929344076785,0.730001939803205,0.653341851185604
1.45,0.70773242195206,0.715719510823659,0.737387411954122,0.782600652139542,0.749543842576218,0.723079631068109,0.643351404835437
1.5,0.703844993115565,0.711571685219635,0.728028929266868,0.779930065243329,0.743408130426635,0.716171288686809,0.63354423797068
1.55,0.700083492640809,0.707752315923265,0.718894677398757,0.777457822422744,0.737506685440574,0.709308527014811,0.623994057612067
1.6,0.69640881778388,0.704222966397876,0.710006696289778,0.775163892426248,0.731832714268404,0.702525154765267,0.614655599982204
1.65,0.692823393044193,0.701024899733673,0.701358177921008,0.772973320630354,0.726377869034101,0.695764922552881,0.60554109222074
1.7,0.689280677265794,0.698122717801906,0.692966819254379,0.770928956228886,0.721122489334991,0.689095320741371,0.596632294772319
1.75,0.685775975711823,0.695509831237416,0.684773443166537,0.768998907084048,0.71609392040179,0.682493840291877,0.587943496932689
1.8,0.68229264701009,0.693200311218926,0.676837184096436,0.767133888353797,0.711278527242915,0.67601703368283,0.579500676691054
1.85,0.67881322244168,0.691231895176364,0.669161758056284,0.765350053721245,0.706690821856261,0.669655378009298,0.571306285529394
1.9,0.675306561755274,0.689528442576401,0.661670874714608,0.763574134070307,0.702271608782241,0.663372052309476,0.563293008236371
1.95,0.671759057446534,0.688140403387515,0.6544204537184,0.761830757911866,0.698072256903596,0.657210108208997,0.555513296931128
2,0.668181494789876,0.687046788813274,0.647375826657534,0.760098092985183,0.694035864615805,0.651142370793281,0.547936290906992
2.05,0.664510076812691,0.686212672350447,0.640529971550747,0.75826166851331,0.690156466581457,0.64517500156578,0.540553954923923
2.1,0.660801105158844,0.685669873889884,0.633912640313409,0.756419729560991,0.686500055458545,0.639341202176886,0.533395267176219
2.15,0.656956557351092,0.685373690522999,0.627475316350806,0.754458223236147,0.683010673888824,0.633639990747031,0.526442492195306
2.2,0.65303812037855,0.685353510224912,0.621243271644726,0.752401072697482,0.679678653770661,0.628075159503156,0.519694270514507
2.25,0.649017212880939,0.685640806583282,0.615213111308859,0.750236969855276,0.676458534344742,0.622626425272385,0.513174670936563
2.3,0.644924195300739,0.686126010995424,0.609360320246167,0.747955153355058,0.673356185172508,0.617295861988752,0.506868881586615
2.35,0.640662452979848,0.686803691418088,0.603688067249332,0.745511250799095,0.670337403240402,0.612074620088183,0.500730163229525
2.4,0.636274332457522,0.687663387416522,0.598185367511077,0.742909148345217,0.66739360008745,0.607008323268091,0.494801053176715
2.45,0.631752512746268,0.688681822967328,0.592863459693482,0.740078308222918,0.664417797736826,0.602015547170421,0.48902585801653
2.5,0.627116200616477,0.689782396978836,0.58770095754573,0.737099510855469,0.661349313748954,0.597114131294851,0.483401428123312
2.55,0.6223302182494,0.690876927617036,0.582707011746825,0.733905623733853,0.658175409788215,0.592319066731164,0.47795025636376
2.6,0.617428377511549,0.691934239022024,0.577885057653941,0.730505953366016,0.654800492357967,0.587629924354535,0.472677298299426
2.65,0.612357891664416,0.692789959690248,0.573209541180924,0.726937963627056,0.651108914302467,0.583064463383527,0.467572979050965
2.7,0.607131610514361,0.693277322109881,0.56868207181003,0.723157779157509,0.646984749430759,0.578614497135702,0.46263951378951
2.75,0.601766611665703,0.693233780181312,0.564311242960879,0.719156724340944,0.642245247848463,0.574264653438406,0.457869549478256
2.8,0.596208994535893,0.69246036693987,0.5600994757625,0.714906514494281,0.636661092025847,0.570034282928262,0.453259550794781
2.85,0.590462688859141,0.690696642622149,0.556024145304687,0.71046179398833,0.629961228412995,0.565904973143229,0.448770790929092
2.9,0.584553554286494,0.687599769934931,0.552075933098167,0.705825929404798,0.621989656877769,0.561894769665348,0.444452181074502
