"a","D1_Gamma","D3_Gamma","D4_Gamma","D1_Beta","D3_Beta","D4_Beta","Beta_Gamma"
0.5,0.957685889922465,0.973953253199633,0.985743691915143,0.970766836150046,0.98037090317511,0.948550396826703,0.9709773494254
0.55,0.952403401875108,0.968771734876587,0.986449087210487,0.966103288984013,0.975623444549669,0.94866884699015,0.965156412632392
0.6,0.947273043752851,0.963518499710848,0.986147457245186,0.96141041867684,0.970564239926658,0.948004294898585,0.958862449014919
0.65,0.942328029353661,0.958258092227505,0.984948588448271,0.956744604567157,0.965266940252991,0.94661871245105,0.952135721773956
0.7,0.937561606802552,0.953034877071237,0.982965795169488,0.95211613245149,0.959762518879273,0.944605572918968,0.94500872453928
0.75,0.932948672445942,0.947863766835605,0.980285168110609,0.947561721033785,0.95410328134493,0.94202852934867,0.937484531209522
0.8,0.928532211906207,0.942797459082216,0.977008630394781,0.943118352339687,0.948348558059718,0.938959742087818,0.929621362342892
0.85,0.924258166882747,0.937815331963705,0.973199845987335,0.938825410643296,0.942547429138064,0.935458331632544,0.92145934080467
0.9,0.920103926084708,0.932900752894379,0.968916346394383,0.93467281764762,0.936707538421558,0.931569042482432,0.912990085214231
0.95,0.916104443419775,0.928131681741573,0.964237102843017,0.930712161251829,0.930899955670822,0.927383919233949,0.904328174170234
1,0.912228466161079,0.923482433264942,0.959198751041799,0.926907224556224,0.925097302685082,0.922921911747015,0.895452719637872
1.05,0.908436429191173,0.918957574887535,0.953838548488496,0.923273560454269,0.919348381801465,0.918224650294527,0.886399439168786
1.1,0.904729260298219,0.914569141660176,0.948217318422859,0.919864490852906,0.913699040955284,0.913345268395323,0.877210517886452
1.15,0.901086459856617,0.910299862685517,0.942354842017438,0.91661388625119,0.908101306399192,0.908252593419808,0.867880335686462
1.2,0.897532457006953,0.906184716338153,0.936303294413843,0.913527451307975,0.902577028061078,0.902988150411234,0.858443496059946
1.25,0.894056961710113,0.902239064905424,0.93013127263224,0.910594785924402,0.897136042210646,0.897587436256149,0.848973194621781
1.3,0.890614935921119,0.898431015347698,0.923802426798633,0.907827040341155,0.891801757456362,0.892073432181625,0.839436108487398
1.35,0.887203109943451,0.894772462868417,0.917348198370698,0.905220284770983,0.886568829892178,0.886431676271955,0.829816829595465
1.4,0.883827997838184,0.891295649894888,0.910828895971103,0.902751728165596,0.881453137365316,0.880733780636313,0.820235468833022
1.45,0.880506956106394,0.888003150723436,0.904259422029725,0.900447339279795,0.876471852246949,0.874982298038775,0.810680071501199
1.5,0.877198072320328,0.884893186772913,0.897669700427424,0.898292277107149,0.871642177667697,0.869179033033,0.801153063146157
1.55,0.873933116803229,0.881991537441878,0.891071512005456,0.896289080339967,0.866952884201216,0.863362340151254,0.791737331482743
1.6,0.870686101595764,0.879293875136027,0.884510799748552,0.894420444031307,0.862434114071274,0.857563603781776,0.782422028001926
1.65,0.867448433115006,0.876805879286974,0.877955737544102,0.892623052528898,0.858042801658599,0.851713652110678,0.773197019922704
1.7,0.864193285902155,0.87453381840119,0.871465682446619,0.89092421236177,0.853793224261514,0.845872564146841,0.764071897563735
1.75,0.860936962949549,0.872454071475287,0.864995835676224,0.889339747886883,0.849698727436899,0.840038389511585,0.755056319480117
1.8,0.857656999660654,0.870591112200752,0.858612675161302,0.887835550952293,0.845776001119913,0.834256014323427,0.7461922692456
1.85,0.854339882401615,0.868983972042243,0.852325760018906,0.886407082073104,0.842021811086867,0.828512722581058,0.737517519429024
1.9,0.850980932729677,0.867578068994966,0.846107204156811,0.885009507175022,0.838394830028531,0.822766042391613,0.728948274934847
1.95,0.847546472728671,0.86638917245793,0.839982813618017,0.883671813841645,0.834945731575444,0.817087827574525,0.720545817156897
2,0.844061512814979,0.86542504548278,0.833947575819104,0.882372688233299,0.831642766664147,0.811460658876731,0.712282756092679
2.05,0.840466272024591,0.8646635501264,0.828004746683545,0.881047058520665,0.828445975304391,0.805854378310922,0.704172919086832
2.1,0.836800539107392,0.864107103151492,0.822169545872665,0.879764251683875,0.825446771375541,0.800348832681004,0.696236432169164
2.15,0.833018904444011,0.863748273046195,0.816432159000954,0.878454291947786,0.822599787383704,0.794912985352028,0.688491943478159
2.2,0.82912560123046,0.863587063917238,0.810801408321931,0.877134216357356,0.819919225353385,0.789577094654201,0.680938403138335
2.25,0.825132262238973,0.863641525036776,0.805296431608101,0.875803147659538,0.817342518873659,0.784324989395446,0.673594558489595
2.3,0.821014056069463,0.863848399741716,0.799888849890447,0.874493727441987,0.814929696931534,0.779194211283409,0.666464006946233
2.35,0.816751476476772,0.864168949854877,0.794591158613362,0.873094839630271,0.812587382000811,0.774126398653448,0.65948733921578
2.4,0.812299823617559,0.864602387380076,0.789396404637822,0.871629505053791,0.810323809185632,0.769169768609098,0.652697457422817
2.45,0.807681821679908,0.865134979308059,0.784323091286541,0.87002583476651,0.808049978554527,0.764259192125424,0.646043140032476
2.5,0.802901643729893,0.865707904026904,0.779346683463478,0.868319166533048,0.805689880112828,0.759402633525418,0.6395166180756
2.55,0.797936495907416,0.866261264245333,0.774484527426648,0.866438489847799,0.803222809324353,0.754582766688049,0.633127959672635
2.6,0.792830069335815,0.866766104340405,0.769731042713474,0.864440989904339,0.800638317605197,0.749850257101787,0.626920936111725
2.65,0.787500098818949,0.867069594138311,0.765072395093964,0.862331558545935,0.79784079529104,0.745224209144701,0.620878637905345
2.7,0.781962007149792,0.867091110858911,0.760503259900641,0.860048379116972,0.79472651777126,0.740676951432417,0.615000962759251
2.75,0.7762187744955,0.866673185988393,0.756035341390443,0.857618685561232,0.79118243874462,0.736212575514138,0.609268451958455
2.8,0.770209884107261,0.865663825146054,0.751651249929803,0.854990501427222,0.787042965608716,0.731857635693838,0.603682119688118
2.85,0.763949896459571,0.863893466287768,0.74736080135597,0.852217838985436,0.782118249964009,0.727625535864596,0.598238044238171
2.9,0.757467609877944,0.861088019420931,0.743144720773043,0.849260179360781,0.776192472358679,0.723485142132228,0.592937337420568
2.95,0.750725708495657,0.856943432445241,0.739055984685242,0.84612000623402,0.768953919986544,0.719453088492039,0.587834883971688
3,0.743671473203863,0.851115278641359,0.734989586554139,0.842736213203693,0.760012795087716,0.71551410555997,0.582809741500759
