"a","D2_Gamma","D3_Gamma","D5_Gamma","D2_Beta","D3_Beta","D5_Beta","Beta_Gamma"
0.5,0.998397527503644,0.998397527503644,1,0.913797036654149,0.913797036654149,0.912118755178698,0.912118755178698
0.55,0.997678108780704,0.997678108780704,1,0.913752630710842,0.913752630710842,0.911384643451595,0.911384643451595
0.6,0.997347562809278,0.997347562809278,1,0.913689953246284,0.913689953246284,0.911005282766226,0.911005282766226
0.65,0.996763736319375,0.996763736319375,1,0.913602754130712,0.913602754130712,0.910358805795466,0.910358805795466
0.7,0.996038160724918,0.996038160724918,1,0.913488032009777,0.913488032009777,0.909549807505841,0.909549807505841
0.75,0.994854420994678,0.994854420994678,1,0.91333861304247,0.91333861304247,0.908267148304519,0.908267148304519
0.8,0.992983483021802,0.992983483021802,1,0.913141542629503,0.913141542629503,0.906278312045046,0.906278312045046
0.85,0.990839503824319,0.990839503824319,1,0.912889170991991,0.912889170991991,0.903973389883137,0.903973389883137
0.9,0.988328170003369,0.988328170003369,1,0.912579902822577,0.912579902822577,0.901262176904616,0.901262176904616
0.95,0.984463040407426,0.984463040407426,1,0.912201077631295,0.912201077631295,0.897182811701284,0.897182811701284
1,0.980163831208969,0.980163831208969,1,0.911755210167524,0.911755210167524,0.892485213972991,0.892485213972991
1.05,0.968362335470359,0.968362335470359,1,0.911236619714046,0.911236619714046,0.880923478186506,0.880923478186506
1.1,0.965241799302995,0.965241799302995,1,0.910634968848036,0.910634968848036,0.877391566427496,0.877391566427496
1.15,0.957979597631636,0.957979597631636,1,0.90996158729589,0.90996158729589,0.869824735088818,0.869824735088818
1.2,0.952861428729398,0.952861428729398,1,0.909209738828926,0.909209738828926,0.864260813760019,0.864260813760019
1.25,0.952400153146925,0.952400153146925,1,0.90838033909716,0.90838033909716,0.863109236949052,0.863109236949052
1.3,0.949918199278075,0.949918199278075,1,0.907471842490036,0.907471842490036,0.859968929471406,0.859968929471406
1.35,0.949099145801308,0.949099145801308,1,0.90650032419451,0.90650032419451,0.858392526350473,0.858392526350473
