"a","D2_Gamma","D3_Gamma","D5_Gamma","D2_Beta","D3_Beta","D5_Beta","Beta_Gamma"
0.5,0.999728272870913,0.999728272870913,1,0.981930187344433,0.981930187344433,0.981276283718708,0.981276283718708
0.55,0.999656138850031,0.999656138850031,1,0.981921301770478,0.981921301770478,0.981132019886178,0.981132019886178
0.6,0.999594282828578,0.999594282828578,1,0.981905687902094,0.981905687902094,0.981043764481751,0.981043764481751
0.65,0.999522223475818,0.999522223475818,1,0.981880760595352,0.981880760595352,0.980939119873567,0.980939119873567
0.7,0.999401709244173,0.999401709244173,1,0.981846658790496,0.981846658790496,0.980694589576772,0.980694589576772
0.75,0.999160349609593,0.999160349609593,1,0.981798647208446,0.981798647208446,0.980379902055905,0.980379902055905
0.8,0.998871722403843,0.998871722403843,1,0.981732547770072,0.981732547770072,0.979994364102048,0.979994364102048
0.85,0.99824814214055,0.99824814214055,1,0.98164399879836,0.98164399879836,0.979186209579256,0.979186209579256
0.9,0.997359935898712,0.997359935898712,1,0.98152987988526,0.98152987988526,0.978105544650902,0.978105544650902
0.95,0.996633406156198,0.996633406156198,1,0.98138572543101,0.98138572543101,0.977154986942326,0.977154986942326
1,0.994869552234847,0.994869552234847,1,0.981211356094521,0.981211356094521,0.973570733925224,0.973570733925224
1.05,0.991728586421759,0.991728586421759,1,0.98100455326438,0.98100455326438,0.968593520809298,0.968593520809298
1.1,0.990840840907295,0.990840840907295,1,0.980759412492718,0.980759412492718,0.967378808068046,0.967378808068046
1.15,0.987961252093736,0.987961252093736,1,0.980479667820744,0.980479667820744,0.964089774732164,0.964089774732164
1.2,0.986116836723279,0.986116836723279,1,0.980167043866951,0.980167043866951,0.961724666794119,0.961724666794119
1.25,0.985844900642707,0.985844900642707,1,0.979817125166983,0.979817125166983,0.961073620250164,0.961073620250164
1.3,0.983845362021943,0.983845362021943,1,0.979430835432427,0.979430835432427,0.958619292517712,0.958619292517712
1.35,0.98325993264362,0.98325993264362,1,0.979015905546538,0.979015905546538,0.957589222955902,0.957589222955902
1.4,0.978903861170039,0.978903861170039,1,0.978576609707397,0.978576609707397,0.952408881090473,0.952408881090473
1.45,0.974215548477165,0.974215498373482,1,0.978105116317891,0.978105084382541,0.946769206322432,0.946769206322432
1.5,0.972241553068593,0.97224150296491,1,0.977604621268841,0.977604586983531,0.94441710921197,0.94441710921197
1.55,0.969996648681589,0.969996564691357,1,0.977084052041175,0.977084012754669,0.941679855002915,0.941679855002915
1.6,0.969082563691472,0.969082412292197,1,0.97654070035176,0.976540653470893,0.940293697027702,0.940293697027702
1.65,0.968093870814467,0.96809364764102,1,0.975975939915877,0.975975856946636,0.938628761387832,0.938628761387832
1.7,0.968016123719637,0.968015284935981,1,0.975395922998574,0.975395661038858,0.938150569826461,0.938150569826461
1.75,0.962623556664988,0.962622198245364,1,0.974798606498607,0.974798281046085,0.928298506151442,0.928298506151442
1.8,0.941236847992513,0.941232800467539,1,0.974185351364202,0.974184562892539,0.904566555308672,0.904566555308672
1.85,0.937879728889636,0.937874206410869,1,0.97356067958362,0.973559456864021,0.901077241211238,0.901077241211238
1.9,0.937102619385714,0.937088616731004,1,0.97292339135006,0.972920965413686,0.900059516799972,0.900059516799972
1.95,0.936322503822735,0.936300546414055,1,0.972270626876044,0.97226622464564,0.898908789943598,0.898908789943598
2,0.93612698269746,0.93608679622414,1,0.971605576969846,0.97159842607222,0.89833300102309,0.89833300102309
2.05,0.934660608791724,0.934585480438125,1,0.970933420064552,0.970918767892618,0.896245637269098,0.896245637269098
2.1,0.932447660045762,0.932349304992126,1,0.970256642291554,0.970235700912882,0.893521821839183,0.893521821839183
2.15,0.932435575978593,0.932214723687957,1,0.969586303096349,0.969546706008488,0.893102493586636,0.893102493586636
2.2,0.931531203817893,0.931243739295913,1,0.968913377928831,0.968856024656418,0.891882996073227,0.891882996073227
2.25,0.931331861951903,0.930944960444286,1,0.968244539653325,0.968161960546185,0.891288961532687,0.891288961532687
2.3,0.926700198818219,0.926094271125034,1,0.967582649134726,0.96746977022853,0.887190746171417,0.887190746171417
2.35,0.926873127408642,0.925968007225369,1,0.966931785820139,0.966775045659716,0.88687007776646,0.88687007776646
2.4,0.926272160035364,0.924928927616557,1,0.96632657156667,0.966089814140175,0.885700498902764,0.885700498902764
2.45,0.887210760545167,0.885654122587882,1,0.965696406719087,0.965413202702737,0.841988016408379,0.841988016408379
2.5,0.88816065871068,0.885551420234274,1,0.965111433359759,0.964738109021436,0.841744751187084,0.841744751187084
2.55,0.88607310592409,0.882881314988859,1,0.964553483446436,0.964058242454791,0.838306745368195,0.838306745368195
2.6,0.886966345788288,0.882824801184726,1,0.964038156578295,0.963390425714594,0.838104238598741,0.838104238598741
