"a","D1_Gamma","D3_Gamma","D4_Gamma","D1_Beta","D3_Beta","D4_Beta","Beta_Gamma"
0.5,0.823288715957757,0.852405989457052,0.868229987201696,0.941488744300112,0.967734920285568,0.832457074097775,0.877893379308218
0.55,0.804293738781223,0.836236657690862,0.862037777351017,0.93576404177537,0.964856899099296,0.829241578438014,0.864053082573041
0.6,0.78529499509308,0.820041762101017,0.85426010868227,0.930166976780336,0.961993687217071,0.825889620676149,0.850003029825555
0.65,0.766332676939905,0.803884211884506,0.845027153621882,0.924674979836753,0.959141449955066,0.822447049855395,0.835790751866101
0.7,0.747403268989741,0.78775911922025,0.83460949796808,0.919267930349839,0.956292784354816,0.818926849201942,0.821450483377447
0.75,0.728541207478331,0.771732806793195,0.823164037441377,0.913960438356389,0.953472818622788,0.815362007573045,0.807017489952013
0.8,0.709854826046196,0.755866519935821,0.810918214487116,0.908805100052929,0.950697807217721,0.811726075021801,0.79254153492102
0.85,0.691244152603527,0.740155573780506,0.797947954984797,0.903673114608526,0.947935061923554,0.808062941798615,0.778030069110749
0.9,0.672824784159671,0.724695621117545,0.784446040197567,0.898643458525052,0.945201488821682,0.804405767383434,0.763540591574152
0.95,0.654534967337017,0.709438902114034,0.770462507829619,0.893688322273272,0.942499311377946,0.800685836128397,0.74905163477278
1,0.636600854986211,0.694571262567243,0.756250875856733,0.88885174112403,0.939846503340964,0.796932857175327,0.734710893868597
1.05,0.61883997819846,0.679994278341933,0.741780142645989,0.884044740339419,0.937188106323827,0.793159907175676,0.720448284757759
1.1,0.601487685079749,0.665870537958901,0.727256954517272,0.87936631841042,0.934532630478706,0.789361909273616,0.706406153828032
1.15,0.584421741876748,0.652124637074206,0.712633913103728,0.874790581527338,0.931911252945,0.78554783352969,0.692463280907569
1.2,0.567828206481708,0.638856329444071,0.698096220687598,0.870377441491529,0.929272660487607,0.781678241975641,0.678776161482773
1.25,0.551589031951104,0.626045741288559,0.683605764520556,0.866053457258443,0.926624039091773,0.77781922583363,0.665298471205302
1.3,0.535761045654329,0.613731377757983,0.669249612237835,0.861843983122511,0.923948365271822,0.773933465394479,0.652072239794236
1.35,0.52033515688896,0.601937672500235,0.655050633103347,0.857713736575139,0.92124367639604,0.770053185487418,0.639098246079365
1.4,0.505204777179566,0.59063468697568,0.640999775299878,0.853636760857171,0.918479470008244,0.766151614953423,0.62634939063477
1.45,0.490570796358208,0.579970989512236,0.627250363824677,0.849610493436128,0.915662830816801,0.762244698085854,0.613935246909625
1.5,0.47641265223272,0.569881472109503,0.613760919649959,0.845750616059918,0.912751118408197,0.758360071031998,0.60179932296348
1.55,0.462645069318556,0.560336638684497,0.600501061352729,0.84197217529201,0.909764585697596,0.754486353695091,0.589913962377541
1.6,0.449245014618852,0.551377345941861,0.587523982705589,0.838217339123846,0.90668855409092,0.750563804866256,0.578335620979125
1.65,0.436410373425275,0.543023848536787,0.574850250494542,0.834593766872756,0.903459004083176,0.746699292068136,0.567058802955722
1.7,0.424007299360075,0.535294097510552,0.562441026374332,0.831104662070528,0.900106626876926,0.742826416278404,0.556050183924182
1.75,0.411948651856851,0.528167593044494,0.55034736893892,0.827650497185128,0.89654563688634,0.738986689535796,0.545325657403999
1.8,0.40029037383761,0.521677266328975,0.538545128343243,0.82428929577917,0.892769369849905,0.735159648590342,0.5348888318617
1.85,0.389052080381172,0.515825396886144,0.527088183266755,0.820997378501183,0.888751735731895,0.731366435663825,0.524750298081354
1.9,0.378285942343505,0.510602255462287,0.515896392032771,0.817837341210479,0.884466617916191,0.727641664038691,0.514860642295579
1.95,0.368010535565235,0.506044969095175,0.505043443864228,0.814868674928034,0.879882743447996,0.723930309524469,0.505267377486612
2,0.357955619312991,0.502127272706801,0.494470105639218,0.811887223497577,0.874909566948123,0.72022775923116,0.495898895642119
2.05,0.348446325420258,0.498888533570863,0.484198413731567,0.809038169146791,0.869584754865389,0.716578111790497,0.486817575261387
2.1,0.339081890511989,0.496345348294217,0.474190149817973,0.806153893806621,0.863845556910009,0.71295486197566,0.477957638990656
2.15,0.330213054360171,0.494485161844696,0.464482389744605,0.80342163266354,0.857624328031086,0.709382118433206,0.469358597296068
2.2,0.321720824885526,0.493318598239697,0.455050855010341,0.800733331188188,0.850882833737065,0.705860911761976,0.461009231302023
2.25,0.313532606690087,0.492830858836894,0.445890785926682,0.798088683578214,0.843541327306591,0.702354422958249,0.452865027199077
2.3,0.305752423428396,0.493130784989409,0.437001247287,0.795562435618272,0.835543088250101,0.698922080765021,0.444949949370523
2.35,0.298270138112329,0.494182080077396,0.42837201055852,0.793066543555169,0.826829710836911,0.695532109527749,0.437241862688819
2.4,0.2909558211656,0.495967407064128,0.419980765334747,0.790598586554531,0.817316426449186,0.692216341419431,0.429733814312543
2.45,0.284241976615915,0.498543260815028,0.411838204754113,0.788198414086256,0.806942846912191,0.688939631346041,0.422436471968546
2.5,0.277636212573808,0.501856615069022,0.403922139934754,0.785874000494534,0.795609270064971,0.68572839884352,0.415331434838796
2.55,0.271446286835917,0.506026493896355,0.396247572653982,0.783513018920822,0.783172081338776,0.682565340543827,0.408417274837734
2.6,0.265402791773357,0.511005798030728,0.388800423964789,0.781163589699156,0.769574144524323,0.679466887614105,0.401712208364107
2.65,0.259745915572034,0.516773040905354,0.381562900297366,0.778802820242136,0.754698824708982,0.676422008310699,0.395179244196843
2.7,0.254266168277026,0.523379615721982,0.374551366138019,0.776517051235178,0.738330422638723,0.673425003266886,0.388828797514322
2.75,0.249188151441268,0.530721884632768,0.367743825479545,0.774131557490404,0.720405913178086,0.670481853683185,0.382642022321381
2.8,0.244409277727424,0.538824386012527,0.361136751545103,0.771752980084428,0.700751877266447,0.667589272838824,0.37664046855602
2.85,0.239904251756741,0.547517636827104,0.354740174356898,0.769348430690123,0.679220093902254,0.664754704045571,0.370789740331448
2.9,0.235611045909674,0.556739976705101,0.348549551582412,0.766823807430701,0.65555925261462,0.662006394904457,0.365133792814884
2.95,0.231536685320445,0.566281705651607,0.342570695053792,0.764172237574993,0.629675086534096,0.659304906436612,0.359630241519535
3,0.227769814270342,0.575760657210373,0.336782616440886,0.761507474335015,0.601287488744203,0.656646097687559,0.354286464603604
