"a","D1_Gamma","D3_Gamma","D4_Gamma","D1_Beta","D3_Beta","D4_Beta","Beta_Gamma"
0.5,0.956387967407431,0.969576248616214,0.975774617838374,0.994993509960447,0.998438776898088,0.959942610490946,0.978562289289889
0.55,0.946760588977835,0.962651756074728,0.973629709664315,0.993999466625121,0.998149631418387,0.958552669612399,0.97348268205273
0.6,0.936199838112674,0.95500970231392,0.97073107345357,0.992943263051221,0.997836743075633,0.957062273242447,0.967761480890177
0.65,0.924762867346468,0.946697354555326,0.967039269796057,0.99182491815524,0.997498861962636,0.955503147556823,0.961421210734086
0.7,0.912492215874149,0.937748232320087,0.962553264786451,0.990639886951985,0.997133899642222,0.953885505066367,0.95447863326389
0.75,0.899388207048005,0.928177600015356,0.95724737469665,0.98939797300651,0.996748127501171,0.95221240371322,0.946913487755562
0.8,0.885596802070403,0.918075678069221,0.951165480165572,0.988119711733,0.996341770929358,0.950476455563397,0.938769979325149
0.85,0.871067964278368,0.907458155406353,0.944286258924003,0.986772526924255,0.995914012427084,0.948710728512669,0.930052768149531
0.9,0.855924587494195,0.896402320610489,0.936610048672203,0.985380365772967,0.995464811941645,0.946911723508603,0.920804931761069
0.95,0.840193676432489,0.884961234559853,0.928174146681652,0.983941477454254,0.994996700158331,0.945042729906451,0.911034081127632
1,0.824100442038018,0.873285961859614,0.919089427130276,0.982472215109534,0.994515748842199,0.943129889497676,0.900867627955272
1.05,0.807540557702644,0.861358371517648,0.909332709015777,0.980945388508369,0.994008942495427,0.941168286584077,0.890284166821271
1.1,0.790781152395331,0.849356323961287,0.899048673724207,0.979400155864312,0.993485898212144,0.93916352317242,0.879401780400716
1.15,0.773774943824261,0.837276776469467,0.888205954047653,0.977837064562617,0.992950711071573,0.937111241037191,0.868182220661536
1.2,0.756750741629043,0.825272946236236,0.876936038167584,0.97626873503263,0.992388065577564,0.935006523379295,0.856781560672859
1.25,0.739640490837426,0.813325805017943,0.865273476855113,0.97467918339968,0.991804878959789,0.932861888586318,0.845174058886386
1.3,0.722578466135677,0.801571255784783,0.853283745111844,0.973086644762358,0.991199632238247,0.930672094491192,0.833451503835221
1.35,0.705596295569343,0.790062580007258,0.841009906407596,0.971476166583827,0.990577384171224,0.928445550115327,0.821647102390221
1.4,0.688566122422103,0.778749987240597,0.828455636774474,0.969838791723799,0.989919771782581,0.926163652831094,0.809725861922002
1.45,0.671807884434784,0.767885486785768,0.81582087918069,0.96817547191989,0.989230881542408,0.923856217103039,0.797863630446364
1.5,0.655308828256606,0.757427884863683,0.803079407887442,0.966537695708507,0.988505241583336,0.921498479122095,0.786027318832091
1.55,0.639055698193584,0.747399137362009,0.790256735366024,0.96489073601922,0.987739637034892,0.919111713320554,0.774228853329358
1.6,0.622974377874201,0.73782263542274,0.777396949388156,0.963213668160627,0.986927670671364,0.916664212394629,0.762496110327483
1.65,0.607367633825515,0.728793224085891,0.764571936446429,0.96156377846449,0.98606287979923,0.914191765213428,0.750892378147522
1.7,0.592111126556706,0.720316682057433,0.751774987683083,0.959943079203951,0.985140672964447,0.911682568569442,0.739370857075198
1.75,0.577140575406729,0.712431066470269,0.739082655933903,0.95830574418952,0.984140548536861,0.90916446510242,0.727998089877226
1.8,0.562510280550638,0.705163237537209,0.726484347618412,0.9566786907392,0.983055038658094,0.906608657592905,0.716775200844164
1.85,0.548266572173991,0.698552388134117,0.714038557024031,0.95505385949496,0.981865240589697,0.904038516291844,0.705740853417843
1.9,0.534496766498692,0.692605441842285,0.701712260903809,0.953468459408602,0.980553594564036,0.901473953548466,0.694828354988864
1.95,0.521231225038835,0.687382639507364,0.689594353346099,0.951959187699304,0.979102305606599,0.898882721570727,0.684134732394189
2,0.508171401838621,0.682825798411736,0.677614401458844,0.950409916097601,0.977465861418166,0.896250460590234,0.67358802038637
2.05,0.495729266351994,0.679035720195821,0.665848781623158,0.948927232610628,0.975652753746066,0.893644722217558,0.663243331167292
2.1,0.483420170474591,0.676014555770833,0.654253789218724,0.94739044823778,0.973608009043223,0.89101293290482,0.653052686059077
2.15,0.471670561997816,0.673754421589064,0.642874203317878,0.94591731311927,0.9712912515668,0.888384274565799,0.643077994575671
2.2,0.460345804824668,0.6723019533846,0.631735742231204,0.944452174559163,0.968656290801344,0.885759792466969,0.633293461298027
2.25,0.449387233945764,0.671615839098991,0.620764394614725,0.94298567094519,0.965654178764884,0.883124536064846,0.62367063819748
2.3,0.438895510909699,0.671830415696473,0.610020541468117,0.94158424293513,0.962209964425607,0.880496614017882,0.614253839878381
2.35,0.428774390910991,0.67290307306024,0.599511374755883,0.940179624268571,0.958270650601082,0.877886702236748,0.605015421741633
2.4,0.418832396894272,0.674814224106494,0.589192502533199,0.938772677230773,0.953750197880061,0.875297719942934,0.595936644840126
2.45,0.409654041424765,0.677580710576298,0.579119558211088,0.93740730989512,0.948538119733476,0.872710343903227,0.587062389167264
2.5,0.400584949985474,0.681213452436116,0.569239588489792,0.936071696104949,0.942530388120516,0.870155344266551,0.57834973165852
2.55,0.392039752753873,0.685759114824447,0.559579021397112,0.934714372525389,0.935583420939234,0.867609224505228,0.56980162558265
2.6,0.383680309107926,0.691172421294991,0.550147672964464,0.933347311621304,0.927547138661253,0.865096008696378,0.561459069851436
2.65,0.375796717182469,0.697430543613062,0.540886344058294,0.931967340627124,0.918249487655177,0.862602877367652,0.553253103585249
2.7,0.368156156441205,0.704583444896757,0.531871318026834,0.930617378253806,0.907442316169289,0.860133050669075,0.54523911084974
2.75,0.36103377236195,0.712482100057013,0.523036225312978,0.929210190592064,0.894942778159363,0.857690357306253,0.537367837085518
2.8,0.354280406027583,0.721120397848878,0.514401427909953,0.927812482162587,0.8804047632558,0.8552694046819,0.529680389188972
2.85,0.347884282097439,0.730320126049656,0.505986423784476,0.926374080334143,0.863572587693032,0.852890610363217,0.522117644986212
2.9,0.341781051451068,0.740014959108005,0.497769759621643,0.924862457593872,0.843986993483723,0.850547864578427,0.51474160726216
2.95,0.33593963186707,0.749921632789913,0.489754756654472,0.923255443262416,0.82127204753188,0.848236924437092,0.50748813023216
3,0.330474306059765,0.759754273669772,0.48190611460938,0.921627166777702,0.794914244263627,0.845946039426965,0.500392215583896
